1990,Reggie Wilkins Eastern,,10.71
1991,Chris Jackson Woodford County,,10.79
1992,Brian Raspberry Male,,10.81
1993,Brian Raspberry Male,,10.84
1994,Brian Raspberry Male,,10.70
1995,Mark Miller Louisville Male,,10.97
1996,Tony Driver Louisville Male,,11.00
1997,Casey Combest Owensboro,,10.75
1998,Casey Combest Owensboro,,10.71
1999,Tyson Gay Lafayette,,10.81
2000,Tyson Gay Lafayette,,10.78
2001,Tyson Gay Lafayette,,10.46
2002,Todd Chisley Scott County,,10.96
2003,William Carter Apollo,,10.84
2004,Joe Petty Jeffersontown,,10.93
2005,Alfonso Smith Waggener,,10.89
2006,Steve Orndorff Louisville Trinity,,11.22
2007,Justin Green Male,,10.87
2008,Justin Green Male,,10.82
2009,Desmond Suter Bryan Station,,10.81
2010,Chisom Omenyinma Male,,10.94
2011,Ronnie Baker Ballard,,10.89
2012,Ronnie Baker Ballard,,10.65
2013,Willam Bush Ballard,,10.70
2014,Davonte Robinson Henry Clay,,10.85
2015,Austin Hayes South Laurel,,10.76
2016,William Allen Paul Laurence Dunbar,,10.42
2017,JP Vaught Southwestern,,10.81
2018,Langston Jackson Henry Clay,,10.56
2019,Langston Jackson Henry Clay,,10.23
2020,Canceled due to COVID-19 pandemic,,
2021,Bryce Chisley Scott County,,10.64
2004,Zachary Wilder,Woodford County,4:17.88
2005,Michael Eaton,Greenwood,4:20.13
2006,Thomas Davies,St. Xavier,4:18.74
2007,Brian Long,St. Xavier,4:26.09
2008,Ryan Eaton,Greenwood,4:18.83
2009,Ryan Eaton,Greenwood,4:18.39
2010,Ryan Eaton,Greenwood,4:17.91
2011,Andrew Stewart,North Hardin,4:16.10
2012,Luke Weishaar,Oldham County,4:19.52
2013,Patrick Gregory,Butler,4:18.15
2014,William Mulloy,St. Xavier,4:18.38
2015,Ben Young,Tates Creek,4:10.15
2016,Yared Nuguse,DuPont Manual,4:12.10
2017,Yared Nuguse,DuPont Manual,4:17.94
2018,Trevor Warren,Trinity (Lou.),4:16.95
2019,Jacob Brizendine,Oldham County,4:16.68
Year Name(s),,School Time
1966 Kleier,,Atherton 4:20.20
1967 Pohl,,Trinity 4:24.90
1968 Boyd,,Durrett 4:26.40
1969 Harry,,DeSales 4:20.40
1970 Pontrich,,DeSales 4:21.00
1971 Riley,,Atherton 4:20.00
1972 Bullock,,Ballard 4:18.60
1973 Noe,,Trinity 4:17.60
1974 Buechler,,St. Xavier 4:15.00
1975 Kinny,,St. Xavier 4:15.80
1976 Cull,,Atherton 4:23.20
1977 McKay,,Southern 4:26.30
1978 McKay,,Southern 4:25.30
1600 METER RUN,,
Year Name(s),,School Time
1979 James Jeter,,North Hardin 4:19.20
1980 James Jeter,,North Hardin 4:13.80
1981 James Jeter,,North Hardin 4:14.91
1982 Mark Berry,,DuPont Manual 4:20.50
1983 Clay Collier,,Tates Creek 4:19.50
1984 Chuck Harmon,,Campbell County 4:27.39
1985 Barry White,,Southern 4:17.04
1986 Paul Hamilton,,Jessamine County 4:16.44
1987 Paul Hamilton,,Jessamine County 4:16.64
1988 Damian Nally,,Lafayette 4:20.98
1989 Damian Nally,,Lafayette 4:24.00
1990 Aaron Payne,,Pulaski County 4:25.30
1991 Johnny Baum,,Holy Cross (Louisville) 4:22.50
1992 Jeremy Kazlauskas,,Daviess County 4:21.35
1993 Jeremy Kazlauskas,,Daviess County 4:22.76
1994 Ryan Knight,,Male 4:19.83
1995 Ryan Knight,,Louisville Male 4:19.24
1996 Josh Buffolino,,Shelby County 4:18.30
1997 David Christian,,Daviess County 4:21.06
1998 David Christian,,Daviess County 4:17.82
1999 David Christian,,Daviess County 4:14.06
2000 Bobby Curtis,,St. Xavier 4:19.60
2001 Bobby Curtis,,St. Xavier 4:17.43
2002 Bobby Curtis,,St. Xavier 4:13.16
2003 Bobby Curtis,,St. Xavier 4:18.56
Year Name(s),,School,Time
1966 Brown,,Male,9.7
1967 Dean,,Male,10.2
1968 Brown,,Male,10.0
1969 Bowens,,Thomas Jefferson,9.8
1970 Pettway,,Seneca,9.8
1971 Pettway,,Seneca,21.80
1972 Raible,,Trinity,9.80
1974 Perciful,,St. Xavier,10.2
1975 Hill,,Thomas Jefferson,9.60
1976 Agee,,Valley,9.70
1977 Agee,,Valley,9.60
1978 Gray,,Durrett,10.00
100 METER DASH,,,
Year Name(s),,School,Time
1979 Snow,,Bryan Station,11.20
1980 Jerome Harrison,,Seneca,10.70
1981 Alvin Major,,Ballard,10.94
1982 Franklin Allen,,Henry Clay,10.94
1983 Franklin Allen,,Henry Clay,10.65
1984 Derek Robinson,,Lafayette,10.97
1985 Derek Robinson,,Lafayette,10.68
1986 Randy Wyatt,,Paducah Tilghman,10.84
1987 Randy Wyatt,,Paducah Tilghman,10.75
1988 Aaron Payne,,Holy Cross (Louisville),10.58
1989 Aaron Payne,,Holy Cross (Louisville),10.82
1977 Edwards,,Moore 1:55.30
1978 Skaggs,,Valley 2:00.80
800 METER RUN,,
Year Name(s),,School Time
1979 Connell,,Trinity (Louisville) 1:56.30
1980 James Jeter,,North Hardin 1:54.30
1981 James Jeter,,North Hardin 1:56.61
1982 Audley Gordon,,Southern 1:56.23
1983 Darrin Hines,,Pulaski County 1:57.79
1984 Scott Ebelhar,,Apollo 1:54.68
1985 Derrick Saunders,,Ballard 1:55.22
1986 Jeff Gillooly,,Holy Cross 1:55.00
1987 Carl Dillard,,Christian County 1:55.52
1988 John Rhodus,,Bryan Station 1:58.44
1989 Wesley Reed,,Pulaski County 1:59.41
1990 Johnny Baum,,Holy Cross (Louisville) 1:59.15
1991 Johnny Baum,,Holy Cross (Louisville) 1:56.34
1992 Johnny Baum,,Holy Cross (Louisville) 1:57.61
1993 Andrew Lorenz,,Trinity 1:57.72
1994 Jim Hahn,,Meade County 1:58.20
1995 David Douglas,,Meade County 1:54.80
1996 Josh Buffolino,,Shelby County 1:53.16
1997 Stanley Tannyhill,,Male 1:57.02
1998 Derrick Sears,,Pulaski County 1:57.47
1999 James Doaty,,Male 1:52.73
2000 James Doaty,,Male 1:57.47
2001 Chris Hall,,Meade County 1:58.90
2002 Bobby Curtis,,St. Xavier 1:54.72
2003 Bobby Curtis,,St. Xavier 1:54.93
2004 Chris Hall,,Meade County 1:56.34
2005 Phillip Warsaw,,John Hardin 1:55.13
2006 Kenny Minogue,,Louisville Trinity 1:55.77
2007 Jon Erickson,,DuPont Manual 1:55.55
2008 Trent Halasek,,Scott County 1:55.04
2009 Robbie Scharold,,Campbell County 1:54.54
2010 Robbie Scharold,,Campbell County 1:52.19
2011 Tretez Kinnaird,,Butler 1:54.27
2012 Tretez Kinnaird,,Butler 1:49.96
2013 Jimmy Goldson,,Pulaski County 1:55.14
2014 Kendall Muhammad,,Paul Laurence Dunbar 1:54.10
2015 Christian Wright,,Central Hardin 1:52.66
2016 Christian Wright,,Central Hardin 1:52.31
2017 Yared Nuguse,,DuPont Manual 1:54.13
2018 Jacob Burnam,,Trinity (Lou.) 1:56.53
2019 Luke Spurrier,,South Warren 1:52.25
880 YARD RUN,,
Year Name(s),School,Time
1966 Price,Trinity,1:56.90
1967 Baumer,Durrett,1:56.80
1968 Baumer,Durrett,1:54.80
1969 Robinson,Flaget,1:58.00
1970 Spruill,Jeffersontown,1:56.40
1971 Summitt,Fairdale,1:54.70
1972 Jaggers,Butler,1:53.00
1973 G. Hill,Thomas Jefferson,1:55.00
1974 Buechler,St. Xavier,1:56.30
1975 Kieler,Southern,1:56.30
1976 Sirrine,Ballard,1:5870
1976,Veech,Doss,12-00
1977,Elam,Moore,12-06
1978,Meyers,St. Xavier,13-06
1979,Ray,Stuart,13-06
1980,Jeff Davis,Trinity (Louisville),12-06
1981,Kevin Ferguson,Henderson County,14-00
1982,Tom Munich,St. Xavier,14-00
1983,Dan Castle,Madison Central,13-06
1984,Danny Castle,Madison Central,14-01
1985,Brian Kasitz,Madison Central,12-06
1986,Tony Taylor,Iroquois,13-00
1987,Dean McCoy,Covington Catholic,12-06
1988,Adam Smith,Daviess County,15-00
1989,Adam Smith,Daviess County,15-06
1990,Mike Claycomb,Daviess County,14-00
1991,Mike Claycomb,Daviess County,15-00
1992,Andy Knight,Apollo,13-00
1993,Andy Knight,Apollo,14-08
1994,Andy Knight,Apollo,14-06
1995,Dave Francis,Lincoln County,13-06
1996,Lee Miles,Grayson County,14-00
1997,Chris Daniel,St. Xavier,15-00
1998,David Bowersox,Daviess County,13-06
1999,Matt Moore,Madisonville-NH,14-00
2000,David McKenzie,St. Xavier,14-06
2001,Chip Heuser,St. Xavier,14-00
2002,Chip Heuser,St. Xavier,15-07
2003,Chip Heuser,St. Xavier,16-00
2004,Brenden McKenzie,Louisville Trinity,14-06
2005,Chad Smith,Henderson County,14-00
2006,Josh Smith,Grayson County,13-06
2007,Josh Smith,Grayson County,14-03
2008,Adam Hobson,Henderson County,13-00
2009,Evan Pitt,Henderson County,14-00
2010,Ryan Ramsey,St. Xavier,15-07
2011,Brad Zolke,St. Xavier,13-06
2012,Cain Cooper,Henderson County,13-06
2013,Cain Cooper,Henderson County,15-01
2014,Cain Cooper,Henderson County,15-04
2015,Antonio Parker,North Hardin,14-06
2016,Ed Huzyak,South Warren,13-06
2017,Sam Martin,Woodford County,13-06
2018,Ryan Boyle,Trinity (Lou.),13-06
2019,Luke Levinson,Eastern,14-06
Year,Name(s) School,,Mark
1966,Hance Eastern,,6-05
1967,Worth Owensboro,,6-02
1968,Reed Flaget,,6-00
1969,Glass St. Xavier,,6-02
1970,Childer Male,,6-03
1971,Childer Male,,6-03
1972,Trowell Thomas Jefferson,,6-04
1973,Greenwell Waggener,,6-07
1974,Smith Central,,6-06
1975,Flanigan Ballard,,6-04
1976,Maupin St. Xavier,,6-04
1977,Logsdon Iroquois,,6-06
1978,Logsdon Iroquois,,6-04
1979,Steve Wham Henderson County,,6-08
1980,Steve Wham Henderson County,,6-08
1981,John Milburn Male,,6-09
1982,John Milburn Male,,6-06
1983,Gary Novontony Warren Central,,6-06
1984,Bill Jackson Eastern,,6-06
1985,Kevin Sidebottom St. Xavier,,6-09
1986,Kelly Floyd Henderson County,,6-08
1987,Paul Ray Christian County,,6-10.50
1988,Rodney Bottoms DuPont Manual,,6-06
1989,Paul Ray Christian County,,6-06
1990,George Higgins Woodford County,,6-07
1991,Jody Stiles Moore,,6-04
1992,Kio Sanford Bryan Station,,6-04
1993,Pat Farnan St. Xavier,,6-06
1994,Pat Farnan St. Xavier,,6-11
1995,Tony Jarman Holmes,,6-10
1996,Matt Reecer Trinity,,6-08
1997,Matt Reecer Trinity,,6-11.25
1998,Mike McDonald Pulaski County,,6-08
1999,Kurt Kreyling Covington Catholic,,6-04
2000,Larry O’Bannon Male,,6-08
2001,Matt Berrier Ballard,,6-06
2002,Markel Carr Owensboro,,6-08
2003,Graham Cole Henry Clay,,6-04
2004,Graham Cole Henry Clay,,6-04
2005,Steven Jenkins Louisville Trinity,,6-04
2006,Steven Jenkins Louisville Trinity,,6-06
2007,Brandon Walker Marshall County,,6-06
2008,Billy Thompson North Hardin,,6-07
2009,Jonathon Hood Madisonville-NH,,6-06
2010,Donovan Halsel Warren Central,,6-08
2011,Donovan Halsel Warren Central,,6-08
2012,Donovan Halsel Warren Central,,6-04
2013,Jocari Beattie Eastern,,6-08
2014,Tequan Claitt Bryan Station,,6-06
2015,Jaron Brooks Henry Clay,,6-10
2016,Jaron Brooks Henry Clay,,6-10
2017,Patrick Kelly Tates Creek,,6-08
2018,Robbie Springfi eld Trinity (Lou.),,6-04
2019,Justin Lehmkuhler Woodford County,,6-06
2020,Canceled due to COVID-19 pandemic,,
2021,Donsten Brown McCracken County,,6-08
Year,Name(s),School,Mark
1966,Vogt,Manuel,12-00
1967,Price,Waggner,13-00.25
1968,Price,Waggner,13-00
1969,Campbell,Eastern,12-03
1970,Campbell,Eastern,13-06
1971,Minter,Stuart,13-06
1972,Daniels,Fairdale,12-06
1973,Mitchell,Fairdale,12-06
1974,Poling,Ballard,12-06
1975,Coston,Ballard,13-00
1990,Lewis Ridgeway Paducah Tilghman,,11.05
1991,Jamie Henderson Franklin County,,11.23
1992,Chris Jackson Woodford County,,10.89
1993,Chris Jackson Woodford County,,11.03
1994,Terrell English Paducah Tilghman,,11.23
1995,Lorenzo Tooley Monroe County,,10.77
1996,Josh Ellis Paducah Tilghman,,10.61
1997,Josh Ellis Paducah Tilghman,,10.69
1998,Jonathan Embree Bowling Green,,10.90
1999,Jonathan Brown Union County,,10.98
2000,Patrick Johnson Bowling Green,,11.29
2001,Emanueal Harvey Paducah Tilghman,,11.03
2002,John Logan Lexington Catholic,,11.07
2003,John Logan Lexington Catholic,,10.90
2004,Brandon Austin Heath,,11.04
2005,David Jones Belfry,,11.04
2006,Justin Collins Western,,11.32
2007,Tory Parker Paducah Tilghman,,11.15
2008,Winston Guy Lexington Catholic,,11.29
2009,Andy Lewis Johnson Central,,10.97
2010,Erico Smith Spencer County,,10.96
2011,Ryan Timmons Franklin County,,11.02
2012,Ryan Timmons Franklin County,,10.84
2013,Ryan Timmons Franklin County,,11.06
2014,Jake Erpenbeck Cov. Catholic,,10.93
2015,Quinton Baker Ashland Blazer,,10.79
2016,Jairus Brents Waggener,,11.06
2017,Landen Bartleson Boyle County,,10.95
2018,Connor Newhouse North Oldham,,10.74
2019,Chris Duffy Boyle County,,10.46^
2020,Canceled due to COVID-19 pandemic,,
2021,Kelvion Wilson John Hardin,,10.84
"^wind +2.2",,,
2000,Chris Young,Allen Co.-Scottsville,4:26.24
2001,Brandon Lancaster,Muhlenburg North,4:29.85
2002,Daniel Morgan,Boyle County,4:27.60
2003,Jonathan Thomas,Western Hills,4:23.13
2004,Breylen Derrick,Highlands,4:20.46
2005,Emon Casey,Paducah Tilghman,4:23.58
2006,Ron Duncan,Fleming County,4:22.86
2007,Nathan Liversedge,West Jessamine,4:24.06
2008,Brian Mirrielees,Highlands,4:22.49
2009,Will Stratford,West Jessamine,4:27.20
2010,Robert Sandlin,Franklin County,4:21.21
2011,Jared Skrabacz,South Warren,4:20.54
2012,Nicholas Laureano,Lexington Catholic,4:24.54
2013,Nicholas Laureano,Lexington Catholic,4:22.74
2014,Trenton Fryman,North Oldham,4:22.72
2015,Ethan Shuley,Highlands,4:18.81
2016,Trenton Fryman,North Oldham,4:28.63
2017,Spencer Carman,Lexington Catholic,4:23.52
2018,Spencer Carman,Lexington Catholic,4:25.46
2019,Ryan Maynard,Taylor County,4:29.53
MILE RUN,,
Year Name(s),School,Time
1966 Remole,Owensboro,4:22.80
1967 Remole,Owensboro,4:31.50
1968 DeVoto,Newport Catholic,4:23.90
1969 Nichols,Elizabethtown,4:28.00
1970 Smith,Knox Central,4:32.40
1971 Smith,Knox Central,4:30.00
1972 Smith,Knox Central,4:21.60
1973 Strohmeier,Paducah Tilghman,4:28.40
1974 Miller,Owensboro,4:22.70
1975 Sheffer,Union County,4:28.80
1976 Creekmore,Whitley County,4:19.03
1977 Grumback,Paducah Tilghman,4:22.70
1978 Jeter,North Hardin,4:21.30
100 YARD DASH,,
Year Name(s),School,Time
1966 Moser,Boone County,10.00
1967 Gallichio,Newport Catholic,10.00
1968 Welch,Elizabethtown,10.00
1969 Blair,Bryan Station,10.00
1970 Collins,Madisonville No.,10.00
1971 Gallichio,Newport Catholic,10.00
1972 Moore,Tates Creek,22.20
1973 Mitchell,Tates Creek,10:10
1974 Mitchell,Tates Creek,9.80
1975 Johnson,Lafayette,9.70
1977 Prewitt,Lafayette,10.00
1978 Jones,Danville,9.80
100 METER DASH,,
Year Name(s),School,Time
1979 Choo Choo Lee,Paducah Tilghman,10.04
1980 Choo Choo Lee,Paducah Tilghman,10.90
1981 Clay Parker,Paducah Tilghman,11.05
1982 James Jackson,Franklin County,11.08
1983 Derek Bowman,Owensboro Catholic,11.04
1984 Conner Mason,Paducah Tilghman,10.86
1985 Glenn Jackson,Franklin County,10.72
1986 Al Baker,Trigg County,10.83
1987 Gregg Bridges,Trigg County,11.24
1988 Randy Wyatt,Paducah Tilghman,10.63
1989 Randy Wyatt,Paducah Tilghman,10.63
1600 METER RUN,,
Year Name(s),School,Time
1977 Grumback,Paducah Tilghman,4:22.70
1978 Jeter,North Hardin,4:21.30
1979 Young,Union County,4:23.89
1980 Doug Fultz,Russell,4:19.70
1981 Mike Ling,Highlands,4:19.66
1982 Steve Metzger,Barren County,4:25.00
1983 Mike Wilson,Rowan County,4:16.90
1984 James Boxx,Middlesboro,4:29.35
1985 Shawn Pawsat,Highlands,4:28.37
1986 Jeff Moll,Lexington Catholic,4:23.02
1987 Jimmy Herald,Warren East,4:18.20
1988 Brian Binion,Rowan County,4:26.23
1989 Brian Binion,Rowan County,4:25.05
1990 Jeff Scott,Fort Campbell,4:28.33
1991 Cleve Eldridge,Anderson County,4:29.05
1992 Cleve Eldridge,Anderson County,4:29.65
1993 Dennis Hutchinson,Pendleton County,4:22.96
1994 Thomas Murley,Elizabethtown,4:27.67
1995 Thomas Murley,Elizabethtown,4:25.25
1996 La’Mone Owens,Fort Campbell,4:15.96
1997 Paul Gilvin,Fleming County,4:25.89
1998 Justin Griffi n,Bowling Green,4:24.88
1999 Thomas Morgan,Lexington Catholic,4:18.95
1973 Briscoe,,Bryan Station,1:56.90
1974 Jones,,Owensboro,1:55.60
1975 Jones,,Owensboro,1:56.10
1976 Thomas,,Henry Clay,1:57.3
1977 Grumback,,Paducah Tilghman,1:59.20
1978 Thomas,,Henry Clay,1:55.00
800 METER RUN,,,
Year Name(s),,School,Time
1979 Fultz,,Russell,1:58.64
1980 Doug Murphy,,Pulaski County,1:56.30
1981 Pat Alexander,,Grayson County,1:58.41
1982 Chucky Crabtree,,Webster County,1:59.09
1983 Todd Powers,,Knox Central,1:59.77
1984 Jeff Caldwell,,Scott County,1:57.49
1985 Larry Jackson,,Mayfi eld,1:56.25
1986 Larry Jackson,,Mayfi eld,1:55.50
1987 Larry Jackson,,Mayfi eld,1:56.30
1988 Brian Binion,,Rowan County,1:59.73
1989 Eddie Olding,,Grant County,1:55.99
1990 Todd Johnson,,Hart County,1:59.15
