2006 Girls Track & Field State Champions,x,x,x
3200 M Run,,,
Class Name,School,Time,
AAAAA Felicia Guliford,Gallup,11:36.1,
AAAA  Alicia Torres,Taos,11:19.5,
AAA Erin Lewis,Grants,11:53.2,
AA Janice Tosa,Jemez,11:53.3,
A Jessica Hale,Rehoboth,12:01.7,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Aundrea Wells,Alamogordo,14.92,
AAAA  Laci Candelaria,Bloomfield,15.65,
AAA Tiffany Grigg,Socorro,15.81,
AA Kimberley Trujillo,Clayton,16.55,
A Ariel Vallejos,Carrizozo,16.46,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Nicole Hanson,Eldorado,44.84,
AAAA  Michaela Esquivel,Academy,44.71,
AAA Tiffany Grigg,Socorro,47.53,
AA Eileen Onsurez,Loving,48.21,
A Ariel Vallejos,Carrizozo,46.84,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,48.3,
AAAA,Moriarty,50.23,
AAA,Grants,52.03,
AA,Tucumcari,51.03,
A,Rehoboth,52.14,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Clovis,01:43.9,
AAAA,Academy,01:45.0,
AAA,Grants,01:52.0,
AA,Tucumcari,01:48.1,
A,Rehoboth,01:50.1,
2001 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon  Eldorado 12:23,,,
AAAA  Katie Schlottback Farmington  12:61,,,
AAA Amber Rodie Lovington  13.29,,,
AA Ruth Domrzalski Menaul 12.52,,,
A Ariel Burr  Carrizozo 12.45,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon Eldorado 24.70,,,
AAAA  Katie Schlottback  Farmington  26.25,,,
AAA Josephine Jaramillo  Grants  26.87,,,
AA Jennifer Gonzalez Tucumcari 26.52,,,
A Ariel Burr Carrizozo 25.64,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Donita Harmon  Eldorado 55:71,,,
AAAA  Megan Bryant  Silver City  58.21,,,
AAA Victoria Martinez Robertson 58.43,,,
AA Kristi Britain Fort Sumner  60.26,,,
A Ariel Burr Carrizozo 57.47,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Felicia Guliford Gallup  2:15.24,,,
AAAA  Rachel Urbina  Albuquerque Academy  2:17.62,,,
AAA Jacquelyne Gallegos Pojoaque  2:19.30,,,
AA Tauna Higgins  Loving  2:19.96,,,
A Lindy Pate Logan2:31.94,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Felicia Guliford Gallup  5:01.23,,,
AAAA  Rachel Urbina  Albuquerque Academy 5:15.90,,,
AAA Jacquelyne Gallegos  Pojoaque  5:12.04,,,
AA Tauna Higgins  Loving  5:27.59,,,
A Natasha SenaRoy 5:38.17,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Felicia Guliford,Gallup,10:46.7,
AAAA  Alicia Torres,Taos,11:34.0,
AAA Jacquelyne Gallegos,Pojoaque,11:17.4,
AA Janice Tosa,Jemez,11:55.9,
A Jessica Hale,Rehoboth,12:13.5,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Aundrea Wells,Alamogordo,15.78,
AAAA  Rachel Finch,Bloomfield,15.16,
AAA Tiffany Grigg,Socorro,16.31,
AA Melissa Smith,Lordsburg,16.74,
A Farrah Upton,Animas,16.33,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Jenna Brooks,Manzano,45.46,
AAAA  Michaela Esquivel,Albuquerque Academy,45.46,
AAA Kami Sparks,Ruidoso,48.19,
AA Jessica Atlano,Lordsburg,49.2,
A Madalyn Burr,Carrizozo,47.82,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,49.14,
AAAA,Oñate,50.25,
AAA,Lovington,50.87,
AA,Lordsburg,52.7,
A,Logan,51.16,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Eldorado,01:43.4,
AAAA,Silver City,01:46.7,
AAA,Lovington,01:48.7,
AA,Sandia Prep,01:50.3,
A,Animas,01:50.7,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Las Cruces,04:18.5,
AAAA,Albuquerque Academy,04:17.7,
AAA,Robertson,04:31.6,
AA,Santa Rosa,04:36.1,
A,Logan,04:37.7,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Rio Rancho,04:03.2,
AAAA,Moriarty,04:05.5,
AAA,Socorro,04:13.3,
AA,Fort Sumner,04:16.9,
A,Carrizozo,04:18.3,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Amanda Barnes,Carlsbad,43’-02.50”,
AAAA  Susanna Ricco,Albuquerque Academy,39’-11.50”,
AAA Julia North,Cobre,36’-04.00”,
AA Nicole Segovia,Jal,37’-06.00”,
A Denise Grayson,Magdalena,37’-05.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Samantha Porphy,Manzano,125’-10.00”,
AAAA  Andrea King,Farmington,115’-06.00”,
AAA Charlotte Sanchez,Robertson,115’-08.00”,
AA Nicole Segovia,Jal,135’-01.00”,
A Kimber Dunn,Cliff,113’-07.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Fanoy Walters,Manzano,18’-01.50”,
AAAA  Bobbie Misquez,Silver City,16’-07.50”,
AAA Antonia Dominguez,Grants,17’-00.00”,
AA Joanna Munoz,Dexter,15’-03.00”,
A Sandy Fortner,Fort Sumner,16’-08.50”,
High Jump,,,
Class Name,,School,Distance
AAAAA Anette McKinney,,Alamogordo,5’-02.00”
AAAA  Micaiah Redden,,Moriarty,5’-02.00”
AAA Kelli Myers,,Lovington,5’-06.00”
AA Elizabeh Richards,,Texico,5’-06.00”
A Kelly Fortner,,Logan,5’-00.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Brittany Grovey,,Hobbs,36’-08.50”
AAAA  Katie Pettigrew,,Farmington,38’-02.25”
AAA Victoria Martinez,,Robertson,36’-01.25”
AA Kim Villescas,,Sandia Prep,32’-05.75”
A Ariel Burr,,Carrizozo,34’-02.25”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Nicole Huyge,,Las Cruces,10’-00.00”
AAAA  Jennifer Brown,,Silver City,10’-06.00”
AAA Lindsay Mancha,,Cobre,9’-06.00”
AA Eileen Onsurez,,Loving,8’-00.00”
A Amy Pilley,,Hagerman,8’-01.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Veronica Gonzales,,Carlsbad,124’-09.00”
AAAA  Jessica McIntyre,,Farmington,143’-01.00”
AAA Samantha Bridgeport,,Lovington,119’-01.00”
AA Mandi Nordquist,,Tularosa,119’-04.00”
A Samantha Hoggan,,Desert Academy,112’-04.00”
2000 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Amy Warner La Cueva  12.20,,,
AAA Latoya Jackson Lovington  12.88,,,
AA Kristi Brittain  Fort Sumner 12.87,,,
A Ariel Burr Carrizozo 12.85,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Donita Harmon Eldorado 25.00,,,
AAA Brittany Allcorn  Moriarty 26.70,,,
AA Kristi Brittain  Fort Sumner  27.12,,,
A Sarah Brooks Floyd 26.33,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Donita Harmon Eldorado 55.31,,,
AAA Megan Bryant  Silver City  59.06,,,
AA Elizabeth Orchard Sandia Prep 59.84,,,
A Ariel Burr Carrizozo 59.52,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  2:14.08,,,
AAA Jacquelyne Gallegos  Pojoaque  2:18.37,,,
AA Linda Yearly Santa Rosa  2:26.83,,,
A Lindy Pate  Logan2:30.41,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  5:06.70,,,
AAA Magdalena Sandoval Los Alamos  5:17.61,,,
AA Linda Yearly Santa Rosa  5:29.26,,,
A Tauna Higgins Loving  5:41.57,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  11:01.03,,,
AAA Magdalena Sandoval Los Alamos 11:18.49,,,
AA Linda Yearly Santa Rosa  12:16.49,,,
A Renee Kylestewa Rehoboth 12:49.45,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Daphaney Williams,Valley,14.5,
AAA Laci Candelaria,Bloomfield,15.26,
AA Heidi Gollogly,Santa Fe Prep,16.7,
A Sara Garcia,Hagerman,16.29,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Jenna Brooks,Manzano,45.62,
AAA Nicole Hansen,Moriarty,44.24,
AA Jennifer Hardesty,Tularosa,48.73,
A Eileen Onsurez,Loving,48.03,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,La Cueva,48.59,
AAA,Lovington,50.47,
AA,Sandia Prep,51.71,
A,Loving,52.52,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Manzano,?,
AAA,Moriarty,01:45.2,
AA,Sandia Prep,01:50.2,
A,Cliff,01:52.8,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Rio Rancho,04:18.3,
AAA,Silver City,04:23.7,
AA,Fort Sumner,04:28.0,
A,Logan,04:38.4,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,La Cueva,03:58.5,
AAA,Moriarty,04:06.1,
AA,Fort Sumner,04:16.1,
A,Cliff,04:16.3,
Shot Put,,,
Class Name,,School,Distance
AAAA  Amanda Barnes,,Carlsbad,44’-05.50”
AAA Crystal Ray,,Kirtland Central,37’-00.25”
AA Theresa Roybal,,Fort Sumner,41’-02.00”
A Verity Rush,,Melrose,37’-02.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Samantha Porphy,,Manzano,136’-04.00”
AAA Andrea Brigman,,Academy,128’-04.00”
AA Theresa Roybal,,Fort Sumner,121’-05.00”
A Theresa Roybal,,Fort Sumner,121’-05.00”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Fanoy Walters,,Manzano,18’-06.25
AAA Sarah Ort,,Lovington,16’-11.25”
AA Joanna Munoz,,Dexter,16’-05.00”
A Amy Hartley,,Roy,16’-02.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Erin Johnson,,Sandia,05’-04.00”
AAA Kelli Myers,,Lovington,05’-07.00”
AA Elizabeth Richards,,Texico,05’-02.00”
A Jenny Garcia,,Roy,05’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAA  Katie Pettigrew,,Farmington,38’-01.50”
AAA Christina Gonzalez,,Los Alamos,36’-02.50”
AA Royceleen Holmes,,Zuni,33’-06.25”
A Sarah Brooks,,Floyd,34’-02.75”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAA  Jessica Englehart,,Farmington,9’-6.00”
AAA Jennifer Brown,,Silver City,10’-00.00”
AA Cheyanne Renfro,,Cimarron,8’-00.00”
A Sara Garcia,,Hagerman,8’-00.00”
Javelin,,,
Class,Name,School,Distance
AAAA,Jessica McIntyre,Farmington,128’-05.50”
AAA,Kayla Brown,Bloomfield,118’-08.00”
AA,Marsha Salazar,Santa Rosa,119’-10.00”
A,Rebecca Navarrette,Loving,113’-10.00”
1999 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Aundrea Dawson Clovis  12.32,,,
AAA Lisa Matthews Artesia  12.38,,,
AA Sarah McClure Cimarron 13.37,,,
A Deborah Bome Floyd 12.35,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Donita Harmon  Eldorado 25.41,,,
AAA Lisa Matthews Artesia  26.37,,,
AA Sarah McClure Cimarron 26.28,,,
A Deborah Bome Floyd 25.26,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Rachel Woodrum Rio Rancho 58.70,,,
AAA Michelle Matthews Moriarty 60.18,,,
AA Sarah McClure Cimarron 59.59,,,
A Rebecca Navarrette  Loving  61.00,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Laci Jackson Hobbs  2:13.39,,,
AAA Rachel Urbina  Albuquerque Academy 2:19.25,,,
AA Guila Irwin Newcomb 2:23.88,,,
A Tauna Higgins Loving  2:30.49,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  5.00.97,,,
AAA Magdalena SandovalLos Alamos 5:13.37,,,
AA Linda Yearly Santa Rosa  5:32.71,,,
A Linda Pate Logan  5:35.34,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  11:20.48,,,
AAA Magdalena Sandoval Los Alamos 11:54.33,,,
AA Linda Yearly Santa Rosa  12:12.68,,,
A Tauna Higgins Loving  13.44.16,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Daniella Aretino,Gallup,15.49,
AAA Tamela Herrera,Bloomfield,15:46,
AA Michelle Milne,Sandia Prep,16.97,
A Deborah Bome,Floyd,16.1,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Daniella Aretino,Gallup,45.12,
AAA Kendal Hathaway,Kirtland Central,45.62,
AA Jennifer Hardesty,Tularosa,47.89,
A Deborah Bome,Floyd,46.92,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,48,
AAA,Lovington,49.79,
AA,Sandia Prep,51.59,
A,Dora,52.38,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,La Cueva,01:43.1,
AAA,Moriarty,01:44.8,
AA,Tularosa,01:51.7,
A,Cliff,01:51.5,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Gallup,04:11.7,
AAA,Albuquerque Academy,04:19.8,
AA,Dexter,04:28.9,
A,Rehoboth,04:41.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Rio Rancho,04:04.3,
AAA,Moriarty,04:05.3,
AA,Fort Sumner,04:13.4,
A,Loving,04:16.6,
Shot Put,,,
Class Name,,School,Distance
AAAA  Jessica Escobedo,,Alamogordo,41’-04.00”
AAA Julie Roberts,,Moriarty,40’-04.50”
AA Nicole Segovia,,Jal,40’-05.50”
A Tiana Mitchell,,Maxwell,38’-04.25”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Jessica Escobedo,,Alamogordo,128’-01.00”
AAA Krystal Martinez,,Bloomfield,126’-09.00”
AA Nicole Segovia,,Jal,135’-08.00”
A Verity Rush,,Melrose,104’-11.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Fanoy Walters,,Manzano,17’-09.00”
AAA Leisha Martinez,,Bloomfield,16’-10.25”
AA Kristen Utweiling,,Sandia Prep,15’-09.50”
A Deborah Bome,,Floyd,18’-00.50”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Erin Johnson,,Sandia,5’-08.00”
AAA Kelli Myers,,Lovington,5’-09.00”
AA Kelsey Overton,,Fort Sumner,4’-10.00”
A Jenny Garcia,,Roy,5’-04.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAA  Fanoy Walters,,Manzano,36’-10.00”
AAA Christina Gonzalez,,Los Alamos,35’-00.00”
AA Jennifer Berlier,,Estancia,33’-09.00”
A Tandra Hartley,,Roy,33’-09.25”
1998 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Amy Warner La Cueva  12.83,,,
AAA Lisa Matthews Artesia  12.88,,,
AA Sarah McClure Cimarron 13.28,,,
A Deborah Bome Floyd 12.69,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Andrea Lee Oñate 25.91,,,
AAA Lisa Matthews Artesia  26.77,,,
AA Sarah McClure Cimarron 26.68,,,
A Deborah Bome  Floyd 25.90,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Amanda Hooker Farmington 59.35,,,
AAA Felicia Jimenez Portales 59.08,,,
AA Bianca Martinez Loving  61.90,,,
A Kia Matthews  Cliff 61.14,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Erin Belger Sandia  2:17.30,,,
AAA Micaela Esquivel Albuquerque Academy 2:19.86,,,
AA Guila Irwin Newcomb 2:25.46,,,
A Jamie Carruthers Floyd 2:35.52,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Erin Belger Sandia  5:06.40,,,
AAA Jacquelyne Gallegos Pojoaque 5:17.96,,,
AA Almea Matanock Santa Fe Prep  5:33.22,,,
A Melissa Acosta Elida  5:51.82,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Felicia Guliford Gallup  11:27.82,,,
AAA Magdalena Sandoval Los Alamos 11:37.64,,,
AA Roxy Caramil  Dulce 12:31.38,,,
A Sarah Cortese  Fort Sumner 12:59.20,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Jana Teakell,Clovis,14.99,
AAA Cristal Garcia,Pojoaque,15.71,
AA Lindsey Swift,Animas,16.95,
A Deborah Bome,Floyd,16.39,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Jana Teakell,Clovis,45.04,
AAA Courtney Nelson,Silver City,46.44,
AA Anne Miles,Dexter,49.12,
A Deborah Bome,Floyd,46.65,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Clovis,48.91,
AAA,Silver City,49.77,
AA,Sandia Prep,51.41,
A,Hagerman,52.23,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Oñate,01:44.8,
AAA,Moriarty,01:45.3,
AA,Sandia Prep,01:49.0,
A,Hagerman,01:49.4,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Manzano,04:16.2,
AAA,NMMI,04:24.2,
AA,Texico,04:15.6,
A,Fort Sumner,04:37.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Oñate,04:04.6,
AAA,Moriarty,04:07.5,
AA,Texico,04:15.6,
A,Fort Sumner,04:16.1,
Shot Put,,,
Class Name,,School,Distance
AAAA  Jessica Escobedo,,Alamogordo,40’-03.50”
AAA Sarah Prince,,Bloomfield,40’-09.25”
AA Cori Gonzalez,,Loving,36’-07.00”
A Theresa Roybal,,Fort Sumner,40’-00.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Danah Hadley,,Alamogordo,120’-11.00”
AAA Sarah Prince,,Bloomfield,136’-02.00”
AA Kim Robinson,,Sandia Prep,119’-08.00”
A Theresa Roybal,,Fort Sumner,117’-09.00”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Jan Teakell,,Clovis,18’-01.00”
AAA Sonrisa Garcia,,Pojoaque,17’-10.00”
AA Rainy Crisp,,Navajo Prep,16’-05.50”
A Deborah Bome,,Floyd,16’-10.25”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Seleste Morrow,,Clovis,5’-04.00”
AAA Heather Saponaro,,Silver City,5’-04.00”
AA Mia Whiting,,Sandia Prep,5’-02.00”
A Jenny Garcia,,Roy,5’-05.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAA  Shantae Bowman,,Roswell,35’-03.50”
AAA Amber Green,,Ruidoso,35’-01.25”
AA Kathanna Berndt,,Peñasco,32’-02.50”
A Tandra Hartley,,Roy,32’-03.25”
1997 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Glenda Mackey Hobbs12.66,,,
AAA Tanya Metzger Grants  12.84,,,
AA Monica Christofferson Cimarron 13.00,,,
A Deborah Bome Floyd 12.63,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Tashma Green  Carlsbad 25.83,,,
AAA Tanya Metzger Grants  25.89,,,
AA Monica Christofferson Cimarron 26.79,,,
A Deborah Bome  Floyd 26.38,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Erin Belger Sandia  56.05,,,
AAA Katherine Callahan  Silver City  57.81,,,
AA Breann Mitchell Santa Rosa  59.23,,,
A Deborah Bome Floyd 59.68,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAA  Erin Belger Sandia  2:18.39,,,
AAA Amy Swier Aztec 2:16.66,,,
AA Guila Irwin Newcomb 2:26.71,,,
A Lenni HartleyRoy 2:29.78,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAA  Laci Jackson Hobbs  5:15.57,,,
AAA Amy Swier Aztec 4:51.68,,,
AA Guila Irwin Newcomb 5:25.50,,,
A Natalie Hanley Rehoboth 5:51.30,,,
,,,
3200 M Run,,,
Class Name School  Time,,,
AAAA  Katrina Petney Eldorado 11:53.56,,,
AAA Amy Swier Aztec 10:32.79,,,
AA Guila Irwin Newcomb 12:08.80,,,
A Autumn Yazzie Rehoboth 13.24.82,,,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAA  Karina White,Hobbs,15.7,
AAA Kacy Fox,Silver City,15.97,
AA Monica Christofferson,Cimarron,16.07,
A Tandra Hartley,Roy,16.86,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAA  Michelle Nyez,Eldorado,45.15,
AAA Amy Merrill,St. Mikes,45.97,
AA Monica Christofferson,Cimarron,46.26,
A Tandra Hartley,Roy,48.01,
,,,
400 M Relay,,,
Class,School,Time,
AAAA,Hobbs,48.33,
AAA,Silver City,49.95,
AA,Sandia Prep,51.58,
A,Roy,50.68,
,,,
800 M Relay,,,
Class,School,Time,
AAAA,Oñate,01:43.8,
AAA,Albuquerque Academy,01:45.3,
AA,Cimarron,01:49.6,
A,Fort Sumner,01:51.3,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAA,Hobbs,04:16.4,
AAA,Portales,04:20.2,
AA,Santa Rosa,04:33.2,
A,Roy,04:37.6,
,,,
1600 M Relay,,,
Class,School,Time,
AAAA,Eldorado,04:01.7,
AAA,Albuquerque Academy,04:04.1,
AA,Cimarron,04:17.5,
A,Fort Sumner,04:20.4,
Shot Put,,,
Class Name,,School,Distance
AAAA  Nia Harris,,Manzano,37’-06.75”
AAA Tasha Lee,,Hot Springs,41’-05.50”
AA Jody Brown,,Navajo Pine,36’-09.50”
A Crystal Floyd,,Fort Sumner,38’-10.00”
,,,
Discus,,,
Class Name,,School,Distance
AAAA  Vanessa Davidson,,Alamogordo,119’02.00”
AAA Sarah Prince,,Bloomfield,122’-05.00”
AA Jody Brown,,Navajo Pine,112’-09.00”
A Adriane Roybal,,Fort Sumner,111’-07.00”
,,,
Long Jump,,,
Class Name,,School,Distance
AAAA  Randi Baca,,Sandia,17’-02.75”
AAA Leisha Martinez,,Bloomfield,17’-01.75”
AA Rainy Crisp,,Navajo Prep,16’-11.50”
A Deborah Bome,,Floyd,17’-02.75”
,,,
High Jump,,,
Class Name,,School,Distance
AAAA  Seleste Morrow,,Clovis,5’-02.00”
AAA Sherri Cane,,Portales,5’-06.00”
AA Tenille Marrujo-Suggs,,Tularosa,5’-03.00”
A Jenny Garcia,,Roy,5’-02.00”
1996 Girls Track & Field State Champions,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAA  Felicia Devargus Del Norte  12.22,,,
AAA Christy Howard Lovington  12.62,,,
AA Rainy Crisp  Navajo Prep 13.45,,,
A Deborah Bome  Floyd 12.36,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAA  Makelee Carr Clovis  25.50,,,
AAA Stephanie Vlibarri Grants  26.40,,,
AA Breanne Mitchell Santa Rosa  27.41,,,
A Deborah Bome  Floyd 25.93,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAA  Erin Belger Sandia  56.95,,,
AAA Katherine Callahan Silver 57.38,,,
AA Breanne Mitchell Santa Rosa  59.66,,,
