2007,,
100m Dash,6A,"Ryan Bailey, McKay .............................. 10.65"
"",5A,"Derek Newsom, Silverton ...................... 10.99"
"",4A,"Gabe Flores, South Umpqua ................. 10.79"
"",3A,"Dylan Wells, Regis ................................ 11.02"
"",2A,"Tyler Watson, Stanfield ......................... 11.38"
"",1A,"Sean Lewis, Damascus Christian .......... 11.40"
200m Dash,6A,"Ryan Bailey, McKay ............................... 21.11"
"",5A,"Darius Buckner, Liberty .......................... 22.22"
"",4A,"Gabe Flores, South Umpqua .................. 21.79"
"",3A,"Dylan Wells, Regis ................................. 22.46"
"",2A,"Kyle Gomez, Bonanza ............................ 23.08"
"",1A,"Sean Lewis, Damascus Christian ........... 23.52"
400m Dash,6A,"Karl Acker, Grant .................................... 49.03"
"",5A,"Shane O’Connell, Churchill .................... 50.24"
"",4A,"Bryan Harper, Junction City .................... 50.57"
"",3A,"Zack Hevner, Vale .................................. 48.99"
"",2A,"Kyle Gomez, Bonanza ............................ 49.88"
"",1A,"Maurus Hope, Adrian ............................ 49.82"
800m Run,6A,"Taylor Morgan, Central Catholic .......... 1:52.64"
"",5A,"Alex Ringe, Hermiston ......................... 1:56.57"
"",4A,"Marshall Roses, Molalla ...................... 1:55.47"
"",3A,"Joshua Frasier, Coquille ...................... 1:55.91"
"",2A,"Zack Massari, Scio .............................. 1:57.78"
"",1A,"Jacob Bowdoin, New Hope Christian . 1:58.19"
1500m Run,6A,"Elijah Greer, Lake Oswego .................. 3:57.76"
"",5A,"Jake Keyser, Crater ............................. 4:01.09"
"",4A,"Elliot Jantzer, Phoenix ......................... 4:00.10"
"",3A,"Joshua Frasier, Coquille ...................... 4:03.17"
"",2A,"Max Long, Oakridge ............................ 4:07.05"
"",1A,"David Sherman, McKenzie ................. 4:11.40"
3000m Run,6A,"Bryce Burgess, Franklin ...................... 8:47.18"
"",5A,"Jake Keyser, Crater ............................. 8:45.47"
"",4A,"Elliot Jantzer, Phoenix ......................... 8:45.18"
"",3A,"Ian Wayne, Catlin Gabel ...................... 8:55.24"
"",2A,"Max Long, Oakridge ............................ 8:52.24"
"",1A,"Jacob Bowdoin, New Hope Christian . 8:56.52"
110m H,6A,"Tyler McBee, Beaverton ......................... 14.32"
"",5A,"Darius Buckner, Liberty .......................... 14.71"
"",4A,"Nate Dillow, Marist ................................. 14.44"
"",3A,"Jeremy Kreutzbender, Amity .................. 15.41"
"",2A,"Andy Davis, Bonanza ............................. 15.56"
"",1A,"Sean Lewis, Damascus Christian .......... 15.85"
300m H,6A,"Eric Bailey, Benson ................................ 37.78"
"",5A,"Andrew Hastings, Corvallis ..................... 38.15"
"",4A,"Dennis Olstedt, Seaside ......................... 38.68"
"",3A,"Jeremy Kreutzbender, Amity .................. 40.80"
"",2A,"Phil Bonar, Salem Academy ................... 40.93"
"",1A,"Sean Lewis, Damascus Christian .......... 40.21"
4x100m R,6A,GRANT ................................................... 42.51
"",,"(Osheroff, McCoy, Shimada, Acker)"
"",5A,PENDLETON ......................................... 43.09
"",,"(Webber, Peterson, McGrath, Duckett)"
"",4A,SOUTH UMPQUA .................................. 43.82
"",,"(Wilson, Collins, DJ Flores, G. Flores)"
"",3A,JEFFERSON .......................................... 44.82
"",,"(Long, Shields, Wusstig, Gagle)"
"",2A,ST. MARY’S ........................................... 44.38
"",,"(Leonis, Hillgartner, Nelson, Miller)"
"",1A,WALLOWA ............................................. 45.53
"",,"(Long, Delatori, Oveson, Mahon)"
4x400m R,6A,GRESHAM .......................................... 3:20.37
"",,"(DeBois, Riedel, Clark, Lambert)"
"",5A,LEBANON ........................................... 3:24.55
"",,"(Roosa, Beyer, Probert, Bourne)"
"",4A,MARIST ............................................... 3:25.99
"",,"(D. Dillow, Bellamy, Hollander, N. Dillow)"
"",3A,GRANT UNION ................................... 3:28.35
"",,"(Smith, Zadubenec, DesJardin, Coats)"
"",2A,ST. MARY’S ........................................ 3:26.64
"",,"(Hillgartner, Delgado, Seus, Miller)"
"",1A,ST. PAUL ............................................ 3:34.05
"",,"(Anderson, Kirk, Pierson, Kelly)"
Long Jump,6A,"Elvis Akpla, Lincoln .............................23-1.25"
"",5A,"Carson Bartlett, St. Helens ..................22-1.75"
"",4A,"Lane Seals, North Bend ......................21-6.75"
"",3A,"Darren Hiatt, Bandon ............................... 21-9"
"",2A,"Charlie Antal, Portland Christian ........... 21-7.5"
"",1A,"Ethan Moore, Sherman .................... 20-11.25"
Triple Jump,6A,"Elvis Akpla, Lincoln ................................. 47-8"
"",5A,"Carson Bartlett, St. Helens .................. 45-3.25"
"",4A,"Bruce Burbank, Newport .......................... 44-7"
"",3A,"Alex Bremmer, Grant Union .................. 44-5.5"
"",2A,"Josh Heidegger, Cascade Christian ...... 41-8.5"
"",1A,"Seth Lindquist, Damascus Christian ... 45-3.75"
Shot Put,6A,"Andrew Matschiner, Jesuit .................. 56-5.25"
"",5A,"Robert Atoe, The Dalles Wahtonka ..... 56-9.75"
"",4A,"Jordan Aldredge, Gladstone ............... 57-5.75"
"",3A,"Jordan Casey, Valley Catholic ................. 53-3"
"",2A,"John Laidet, Bonanza .............................. 51-2"
"",1A,"Kasey McCullough, Dufur ........................ 51-0"
Discus,6A,"Chase Sexton, West Salem ................... 173-1"
"",5A,"Kyle Westerman, Bend ........................ 155-11"
"",4A,"Jordan Aldredge, Gladstone .................. 167-2"
"",3A,"Ken Stoller, Dayton ................................ 145-2"
"",2A,"John Laidet, Bonanza ............................ 155-2"
"",1A,"Schon Hybertson, Dufur ......................... 138-0"
Javelin,6A,"Michael Thompson, Southridge ............. 198-8"
"",5A,"Jesse Staub, Wilsonville ........................ 191-3"
"",4A,"Jordan Aldredge, Gladstone .................. 197-7"
"",3A,"Jimmy Cook, Grant Union ...................... 176-1"
"",2A,"Josh Heidegger, Cascade Christian ..... 174-10"
"",1A,"Ryan Standiford, Condon ....................... 166-1"
High Jump,6A,"Vernell Warren, Grant .............................. 6-10"
"",5A,"Billy Butler, Hillsboro ............................... 7-0.5"
"",4A,"Danny Staats, Henley ................................ 6-5"
"",3A,"Darren Hiatt, Bandon ................................. 6-2"
"",2A,"Nevin Lewis, Culver ................................... 6-7"
"",1A,"Nick Johnston, Mohawk ............................. 6-5"
Pole Vault,6A,"Adam Brink, Roseburg ............................. 15-7"
"",5A,"Andrew Simpson, Marshfield ................... 15-4"
"",4A,"Austin Ouderkirk, Newport ....................... 14-6"
"",3A,"Robby Fegels, Reedsport ........................ 14-9"
"",2A,"John Ellingson, Kennedy.......................... 15-6"
"",1A,"Shane Ugalde, Crane ........................... 13-6.5"
"",,
2008,,
100m Dash,6A,"Jordan Polk, Lincoln ............................... 10.63"
"",5A,"Mark Brooks, Klamath Union ................. 11.00"
"",4A,"Cory McCaffrey, Sisters ......................... 11.02"
"",3A,"Zack Hevner, Vale ................................. 11.38"
"",2A,"Coulter Mastenbroek, Scio ..................... 11.45"
"",1A,"Sean Lewis, Damascus Christian........... 11.40"
200m Dash,6A,"Nycole Griffin, Benson ........................... 21.79"
"",5A,"Mark Brooks, Klamath Union ................. 22.07"
"",4A,"Kevin Carpenter, Scappoose ................. 22.31"
"",3A,"Zack Hevner, Vale ................................. 22.31"
"",2A,"Coulter Mastenbroek, Scio ..................... 22.75"
"",1A,"Sean Lewis, Damascus Christian.........22.34A"
400m Dash,6A,"Nathan Lightner, Central Catholic .......... 49.05"
"",5A,"Shane O’Connell, Churchill .................... 49.21"
"",4A,"Danny Staats, Henley ............................ 49.01"
"",3A,"Zack Hevner, Vale ................................. 49.83"
"",2A,"Scott Nado, Corbett ............................... 51.39"
"",1A,"Maurus Hope, Adrian ............................. 49.86"
800m Run,6A,"Elijah Greer, Lake Oswego ................. 1:50.60"
"",5A,"Russell Drummond, Chuchill ............... 1:55.85"
"",4A,"Cole Watson, Rogue River .................. 1:54.71"
"",3A,"Cam Anthony, Vale ............................. 1:59.90"
"",2A,"Andrew Hair,"
"",,Faith Bible/Heritage Christian ............. 2:02.50
"",1A,"Shawn Elliott, Triad ............................. 1:58.57"
1500m Run,6A,"Nathan Mathabane, Lincoln ................ 3:53.28"
"",5A,"Matt Miner, Ashland ............................ 3:55.17"
"",4A,"Elliott Jantzer, Phoenix ....................... 3:58.53"
"",3A,"Brian Nelson, Nyssa ........................... 4:14.16"
"",2A,"Max Long, Oakridge ............................ 4:00.10"
"",1A,"Jacob Bowdoin, New Hope Christian .. 4:05.80"
3000m Run,6A,"Bryce Burgess, Franklin ...................... 8:36.83"
"",5A,"Mat Miner, Ashland ............................. 8:42.39"
"",4A,"Elliott Jantzer, Phoenix ....................... 8:40.47"
"",3A,"Daniel Friesen, Westside Christian ..... 9:16.76"
"",2A,"Max Long, Oakridge ............................ 8:55.30"
"",1A,"Jacob Bowdoin, New Hope Christian .. 9:06.54"
110m H,6A,"Eric Capelle, Barlow ............................... 14.51"
"",5A,"Mark Flegel, Crook County .................... 15.20"
"",4A,"Dom Walker, Seaside ............................ 14.91"
"",3A,"Jeremy Kreutzbender, Amity .................. 15.34"
"",2A,"Stephen Dickinson, Bonanza ................. 15.20"
"",1A,"Sean Lewis, Damascus Christian........... 15.00"
300m H,"6A Eric Capelle, Barlow .............................. 38.89"
"","5A Wayne Forthan, Jefferson ..................... 39.06"
"","4A Larry Ragsdale, Illinois Valley ................ 38.49"
"","3A Jeremy Kreutzbender, Amity ................. 40.88"
"","2A Stephen Dickinson, Bonanza ................. 41.14"
"","1A Sean Lewis, Damascus Christian .......... 39.27"
4x100m R,6A BARLOW ............................................... 41.92
"","(Dufala, Johnson, Cook, Capelle)"
"",5A WEST ALBANY ..................................... 43.23
"","(Warren, Pigg, Manifesto, LaCoste)"
"",4A CENTRAL.............................................. 43.65
"","(Cedillo, T. Phillips, Pond, E. Phillips)"
"",3A WESTSIDE CHRISTIAN ....................... 43.57
"","(Colby, Curtis, Parker, Barton)"
"",2A CENTRAL LINN .................................... 44.56
"","(Scott LaCoste, Mendoza, Miller, Sean LaCoste)"
"",1A ECHO .................................................... 44.59
"(Fritz, Dustin Christensen, Devin Christensen, Madison)",
4x400m R,6A GRANT ............................................... 3:18.35
"","(Karl Acker, Ken Acker, McCoy, Shimada)"
"",5A JEFFERSON ...................................... 3:24.41
"","(Guyuta, Miles, Tuffa, Strickland)"
"",4A SISTERS ............................................ 3:24.31
"","(Gruettner, Elder, Henderson, McCaffrey)"
"",3A VALE .................................................. 3:26.87
"","(Skerjanec, Tucker, Anthony, Hevner)"
"",2A EAST LINN CHRISTIAN ..................... 3:32.45
"","(Glender, Engwall, Koos, Goins)"
"",1A ADRIAN .............................................. 3:32.13
"","(Meyer, Osborn, Rogers, Hope)"
Long Jump,"6A Jordan Bishop, West Salem ............... 23-5.75"
"","5A Derek Newsom, Silverton ................... 23-8.75"
"","4A Dakota Keys, Sweet Home ................. 23-4.50"
"","3A Zack Burton, Bervais ............................ 20-8.5"
"","2A Zecharaih NcLaurin,"
"",De La Salle North Catholic ................. 21-2.75
"","1A Ethan Moore, Sherman ...................... 21-9.75"
Triple Jump,"6A Garrett Sim, Sunset ............................ 47-7.75"
"","5A Curtis Fisher, Sherwood ..................... 45-11.5"
"","4A Brian Schaudt, Philomath ........................ 48-9"
"","3A Kaden Andrews, Dayton ..................... 44-4.25"
"","2A Preston Dace, Portland Christian ....... 44-2.75"
"","1A Ethan Moore, Sherman .................... 44-11.25"
Shot Put,"6A Ryan Crouser, Barlow ............................. 60-2"
"","5A Robert Atoe, The Dalles Wahtonka ....... 59-10"
"","4A Elliot Adams, North Bend ................... 51-9.75"
"","3A Levi Case, Nyssa .................................... 51-8"
"","2A Bryson Barney, Chiloquin ........................ 48-7"
"","1A Kasey McCullough, Dufur ..................... 54-2.5"
Discus,"6A Ryan Crouser, Barlow ........................... 178-9"
"","5A Kyle Westerman, Bend .......................... 164-2"
"","4A Eric Whalen, La Salle ............................ 159-5"
"","3A Bo Johnson, Toledo............................... 167-4"
"","2A Wyatt Briggs, Scio ................................. 140-2"
"","1A Willy Johnson, Days Creek .................... 160-8"
Javelin,"6A Sam Crouser, Gresham ......................... 199-6"
"","5A Sean MacKelvie, Wilsonville .................. 200-8"
"","4A Eric Whalen, La Salle ............................ 192-8"
"","3A Jimmy Cook, Grant Union ..................... 178-2"
"","2A Nathan Rowlett, Portland Christian ........ 180-1"
"","1A Loren Meeker, Triad .............................. 165-2"
High Jump,"6A Spencer Patterson, Tigard ....................... 6-10"
"","5A Billy Butler, Hillsboro .................................. 6-8"
"","4A Danny Staats, Henley ................................ 6-9"
"","3A Jordan Buhler, Harrisburg ......................... 6-4"
"","2A Stephen Dickinson, Bonanza ..................... 6-6"
"","1A Asa Miller, Spray ....................................... 6-4"
Pole Vault,"6A Jack Hippler, Oregon City ........................ 15-3"
"","5A Greg Eckes, Marshfield ........................... 15-5"
"","4A Lane Davison, North Bend ...................... 16-0"
"","3A Casey Cagley, Myrtle Point ..................... 14-0"
"","2A David Nuttelman, Portland Christian ........ 13-6"
"","1A Ransom Smith, Gilchrist .......................... 14-0"
"",
2009,
100m Dash,"6A Arthur Delaney, Barlow .......................... 10.75"
"","5A Logan Kotzian, Century ......................... 10.90"
"","4A Matt Anthony, Ontario ............................ 10.88"
"","3A Seth Wenger, Sheridan ......................... 11.14"
"","2A Nevin Lewis, Culver ............................... 10.93"
"","1A Sean Lewis, Damascus Christian .......... 11.03"
200m Dash,"6A Anthony Yakovich, Sheldon ................... 21.79"
"","5A Logan Kotzian, Century ......................... 22.04"
"","4A Matt Anthony, Ontario ........................... 22.08"
"","3A Andrew Curtis, Westside Christian ........ 22.53"
"","2A Nevin Lewis, Culver ............................... 21.84"
"","1A Sean Lewis, Damascus Christian .......... 22.50"
400m Dash,"6A Anthony Yakovich, Sheldon ................... 49.30"
"","5A Kelley Beck, Crater ................................ 50.18"
"","4A Tyler Thomas, Philomath ....................... 50.49"
"","3A Cole Watson, Rogue River .................... 50.57"
"","2A Nevin Lewis, Culver ............................... 49.34"
"","1A Nick Richardson, Portland Lutheran ...... 51.09"
800m Run,"6A Elijah Greer, Lake Oswego ................. 1:59.51"
"","5A Boru Guyuta, Jefferson....................... 1:56.27"
"","4A Jared Christian, Marist........................ 1:57.05"
"","3A Cole Watson, Rogue River ................. 1:56.85"
"","2A Alex Palmer, Union ............................. 2:00.92"
"","1A Ben Bogert, Southwest Christian ........ 2:00.50"
1500m Run,"6A Elijah Greer, Lake Oswego ................. 3:50.56"
"","5A Wilder Schaaf, Ashland ...................... 4:02.64"
"","4A Elliott Jantzer, Phoenix ....................... 3:57.14"
"","3A Cole Watson, Rogue River ................. 4:06.32"
"","2A Chris Fasel, Union .............................. 4:11.90"
"","1A Jacob Bowdoin, New Hope Christian . 4:10.39"
3000m Run,"6A Nathan Mathabane, Lincoln ................ 8:33.31"
"","5A Wilder Schaaf, Ashland ...................... 8:42.17"
"","4A Elliott Jantzer, Phoenix ....................... 8:43.40"
"","3A Corbin Helt, Creswell .......................... 9:14.20"
"","2A Tom Sheehy, Union ............................ 9:05.59"
"","1A Abel Araya, Portland Lutheran............ 8:56.80"
110m H,"6A Micah Hatfield, Lake Oswego ................ 14.68"
"","5A Caleb Kruse, Marshfield ........................ 14.60"
"","4A Dakotah Keys, Sweet Home .................. 14.67"
"","3A Garrett Presley, Creswell ....................... 15.34"
"","2A Stephen Dickinson, Bonanza ................ 14.70"
"","1A Sean Lewis, Damascus Christian .......... 14.52"
300m H,"6A Taylor Abdie, Sunset ............................. 38.58"
"","5A Mark Flegel, Crook County .................... 39.16"
"","4A Justin Lundgren, Gladstone ................... 40.30"
"","3A Andrew Curtis, Westside Christian ........ 39.94"
"","2A Coulter Mastenbroek, Scio .................... 39.00"
"","1A Sean Lewis, Damascus Christian .......... 39.01"
4x100m R,6A JESUIT .................................................. 41.88
"","(Dillon, Blake, Fry, Lowe)"
"",5A WEST ALBANY ..................................... 42.89
"","(Davis, Johnson, Manifesto,"
"",4A ONTARIO .............................................. 43.46
"","(Turner, Keyes, Anzaldua, Anthony)"
"",3A WESTSIDE CHRISTIAN ....................... 43.63
